ano,cbo2002,empregados
2013,131210,17657
2014,131210,18567
2015,131210,17635
2016,131210,17108
2010,131215,10
2011,131215,7
2012,131215,39
2013,131215,83
2014,131215,94
2015,131215,122
2016,131215,102
2015,131220,10
2016,131220,15
1986,131305,767
1987,131305,759
1988,131305,775
1989,131305,807
1990,131305,898
1991,131305,1047
1992,131305,1216
1993,131305,971
1994,131305,1050
1995,131305,1065
1996,131305,1282
1997,131305,1199
1998,131305,1112
1999,131305,1093
2000,131305,1171
2001,131305,1248
2002,131305,1521
2003,131305,14558
2004,131305,13300
2005,131305,13210
2006,131305,12920
2007,131305,13160
2008,131305,13581
2009,131305,14077
2010,131305,14332
2011,131305,13187
2012,131305,13435
2013,131305,13621
2014,131305,13891
2015,131305,14215
2016,131305,14462
2003,131310,19871
2004,131310,18897
2005,131310,22606
2006,131310,24342
2007,131310,25949
2008,131310,23270
2009,131310,29579
2010,131310,32384
2011,131310,31474
2012,131310,26756
2013,131310,30856
2014,131310,30957
2015,131310,27637
2016,131310,22823
1986,131315,261
1987,131315,262
1988,131315,270
